GEO_ID,NAME,S2506_C01_001E
23001,"Androscoggin County, Maine",20277
23003,"Aroostook County, Maine",10759
23005,"Cumberland County, Maine",59061
23007,"Franklin County, Maine",5037
23009,"Hancock County, Maine",10761
23011,"Kennebec County, Maine",23592
23013,"Knox County, Maine",8007
23015,"Lincoln County, Maine",7260
23017,"Oxford County, Maine",9368
23019,"Penobscot County, Maine",24783
23021,"Piscataquis County, Maine",2434
23023,"Sagadahoc County, Maine",7797
23025,"Somerset County, Maine",8642
23027,"Waldo County, Maine",7638
23029,"Washington County, Maine",4756
23031,"York County, Maine",43424
