County,HUD
Caldwell,69600
Cherokee,58700
Chowan,57900
Gaston,96300
Gates,68100
Halifax,49700
Mecklenburg,96300
Mitchell,66300
Pasquotank,73600
Perquimans,69600
Surry,74300
Union,96300
Wake,110100
Cabarrus,96300
Carteret,85400
Catawba,69600
Chatham,95500
Clay,57600
Harnett,74000
Iredell,90700
Madison,80000
Pitt,72200
Rutherford,56500
Scotland,51600
Transylvania,68600
Cumberland,61200
Greene,61100
Haywood,73600
Hoke,62900
Jones,57200
Moore,87300
Person,73000
Polk,66700
Richmond,51900
Sampson,58300
Tyrrell,56200
Avery,55200
Buncombe,80000
Currituck,93500
Duplin,58500
Granville,74800
Henderson,80000
Hyde,54300
Lee,66300
Nash,61500
Randolph,73000
Rockingham,55500
Rowan,69900
Stanly,71900
Wilkes,66900
Yancey,62900
Alleghany,48800
Brunswick,86700
Caswell,66300
Davie,77400
Jackson,69400
McDowell,60300
Montgomery,62300
Onslow,60100
Pender,80500
Alamance,78200
Bertie,56800
Bladen,52300
Camden,84300
Cleveland,59600
Columbus,54100
Davidson,71200
Franklin,110100
Guilford,73000
Hertford,54100
Lenoir,56000
Northampton,49900
Pamlico,67900
Washington,54200
Wayne,59100
Anson,56900
Ashe,59900
Craven,75000
Durham,95500
Edgecombe,61500
Forsyth,77400
Graham,55100
Macon,63600
Martin,52500
Orange,95500
Robeson,48600
Swain,59500
Vance,54900
Watauga,82200
Alexander,69600
Beaufort,66200
Burke,69600
Dare,78900
Johnston,110100
Lincoln,89700
New,90600
Stokes,77400
Warren,57100
Wilson,73100
Yadkin,77400
